,title,address,price,url,type,bedrooms,rooms,bathrooms,surface
94,"Super Departamento en Renta Narvarte, como nuevo",Ciudad de México,16.500 MXN,https://www.properstar.es/listing/78811678,Piso,2 habitación/es,2 Habit.,2 Baño.,75 m²
95,Departamento en Renta - Tepeyac Insurgentes,"Ciudad de México, 3 Atepoxco",10.800 MXN,https://www.properstar.es/listing/80805648,Piso,3 habitación/es,3 Habit.,1 Baño.,76 m²
96,"Departamento PH en Renta en Lomas del Chamizal, $17,000, balcón, 3 recámaras, 3 baños, elevador, roof garden con asadores","Ciudad de México, 5 Cañoneros de Guanajuato",17.000 MXN,https://www.properstar.es/listing/81600331,Piso,8 habitación/es,3 Habit.,3 Baño.,79 m²
97,Eje 8 - Av Popocatepetl - Departamento 3 recámaras,"Ciudad de México, 243 Eje 8 Sur Av Popocatepetl",21.500 MXN,https://www.properstar.es/listing/80900588,Piso,3 habitación/es,3 Habit.,2 Baño.,109 m²
98,EXELENTEN DEPTO B GRAND EN RENTA,Ciudad de México,22.000 MXN,https://www.properstar.es/listing/81727887,Piso,,,,
99,Hermoso Departamento en el mejor desarrollo de Santa Fe,Ciudad de México,65.000 MXN,https://www.properstar.es/listing/74302437,Piso,3 habitación/es,3 Habit.,3 Baño.,375 m²
100,Renta de Agradable Departamento Exterior en Benito Juárez,"Ciudad de México, 40 Hamburgo",21.500 MXN,https://www.properstar.es/listing/80231898,Piso,4 habitación/es,3 Habit.,3 Baño.,126 m²
101,Departamento AMUEBLADO en RENTA. cerca de metro Centro Médico Siglo XXI. Benito Juárez,Ciudad de México,23.500 MXN,https://www.properstar.es/listing/78856855,Piso,2 habitación/es,2 Habit.,2 Baño.,120 m²
102,"RENTA DEPARTAMENTO A ESTRENAR 72 MTS LOMAS DE CHAMIZAL $16,000.00",Ciudad de México,16.000 MXN,https://www.properstar.es/listing/77550042,Piso,2 habitación/es,2 Habit.,1 Baño.,72 m²
103,Renta Departamento Cuauhtémoc 2 recámaras. Cerca de San Cosme,Ciudad de México,13.100 MXN,https://www.properstar.es/listing/81600258,Piso,2 habitación/es,2 Habit.,,65 m²
104,Departamento en Renta SIN AMUEBLAR - La Cité Cuajimalpa,"Ciudad de México, Carretera México - Toluca",16.500 MXN,https://www.properstar.es/listing/77459217,Piso,2 habitación/es,2 Habit.,2 Baño.,80 m²
105,Rento Departamento en Residencial Carso Periférico - Miguel Hidalgo,"Ciudad de México, Blvd. Manuel Ávila Camacho",28.500 MXN,https://www.properstar.es/listing/81569643,Piso,3 habitación/es,3 Habit.,2 Baño.,103 m²
106,"DEPARTAMENTO DE DOS HABITACIONES EN RENTA SIN AVAL EN LA COLONIA DEL VALLE, CON COCINA EQUIPADA Y BAÑO, EDIFICIO PET FRIENDLY",Ciudad de México,23.199 MXN,https://www.properstar.es/listing/75194983,Piso,2 habitación/es,2 Habit.,1 Baño.,72 m²
107,"RENTA Departamento en AJUSCO Héroes de Padierna a 2 cuadras de la carretera Picacho-Ajusco cerca de Periférico, a 15 min de Insurgentes y el metrobús.","Ciudad de México, 416 Teya",16.750 MXN,https://www.properstar.es/listing/80900417,Piso,3 habitación/es,3 Habit.,3 Baño.,135 m²
108,"RENTA DEPTO LOMAS DE BEZAREZ 185 MTS $32,000.00 C/MANT INCLUIDO","Ciudad de México, 2742 PROLONGACION PASEO DE LA REFORMA",32.000 MXN,https://www.properstar.es/listing/80805649,Piso,3 habitación/es,3 Habit.,3 Baño.,185 m²
109,RENTA DPTO. DE LUJO 3 HABS. REMODELADO BOSQUES DE TABACHINES,Ciudad de México,35.000 MXN,https://www.properstar.es/listing/81630816,Piso,3 habitación/es,3 Habit.,3 Baño.,287 m²
110,"Departamento Pent House en Renta en Nuevo Polanco, Miguel HIdalgo!","Ciudad de México, 20 Lago Bangueolo",33.500 MXN,https://www.properstar.es/listing/80232011,Piso,2 habitación/es,2 Habit.,2 Baño.,125 m²
111,Departamento en Renta en Miguel Hidalgo - Residencial Caso Periférico,"Ciudad de México, Blvd. Manuel Ávila Camacho",28.500 MXN,https://www.properstar.es/listing/81569661,Piso,3 habitación/es,3 Habit.,2 Baño.,103 m²
112,"DEPARTAMENTO DE UNA HABITACIÓN EN RENTA SIN AVAL EN LA COLONIA DEL VALLE, CON COCINA EQUIPADA Y BAÑO, EDIFICIO PET FRIENDLY",Ciudad de México,19.899 MXN,https://www.properstar.es/listing/75194978,Piso,1 habitación/es,1 Habit.,1 Baño.,53 m²
113,Renta de Departamento en La Cité - Cuajimalpa - SIN AMUEBLAR,Ciudad de México,16.500 MXN,https://www.properstar.es/listing/77459216,Piso,2 habitación/es,2 Habit.,2 Baño.,80 m²
114,Departamento en RENTA San Jose Insurgente. Amueblado,Ciudad de México,16.800 MXN,https://www.properstar.es/listing/81727830,Piso,2 habitación/es,2 Habit.,2 Baño.,95 m²
115,"CASA AMUEBLADA EN RENTA CON AMPLIO JARDÍN, CONTADERO, CUAJIMALPA","Ciudad de México, 19 Apexoco",93.000 MXN,https://www.properstar.es/listing/78811706,Casa independiente,4 habitación/es,4 Habit.,4 Baño.,585 m²
116,Departamento en fraccionamiento con alberca y cancha de tenis,Ciudad de México,14.000 MXN,https://www.properstar.es/listing/78952969,Piso,2 habitación/es,2 Habit.,2 Baño.,120 m²
117,"Departamento en renta, con balcón. A una cuadra de Zaragoza y del metro Moctezuma","Ciudad de México, 51 Francisco Espejel",9200 MXN,https://www.properstar.es/listing/80263241,Piso,4 habitación/es,2 Habit.,1 Baño.,55 m²
118,"Departamento en Renta, Nápoles, zona Trendy de la ciudad de México, 3 recamaras.",Ciudad de México,18.100 MXN,https://www.properstar.es/listing/81727628,Piso,6 habitación/es,3 Habit.,2 Baño.,110 m²
119,DEPARTAMENTO EN RENTA EN SANTA FE JAVIER BARRO SIERRA,Ciudad de México,26.000 MXN,https://www.properstar.es/listing/80900054,Piso,3 habitación/es,3 Habit.,2 Baño.,147 m²
120,BONITO DEPARTAMENTO EN RENTA EN COL. GRANADA,Ciudad de México,23.000 MXN,https://www.properstar.es/listing/78175723,Piso,3 habitación/es,3 Habit.,2 Baño.,190 m²
121,"DEPARTAMENTO DE UNA HABITACIÓN EN RENTA SIN AVAL EN LA COLONIA DEL VALLE, CON COCINA EQUIPADA Y BAÑO, EDIFICIO PET FRIENDLY",Ciudad de México,15.599 MXN,https://www.properstar.es/listing/75155854,Piso,1 habitación/es,1 Habit.,1 Baño.,44 m²
122,"PH REMODELADO Frente al Parque, San José insurgentes, Guadalupe Inn, Insurgentes Mixcoac",Ciudad de México,45.000 MXN,https://www.properstar.es/listing/79363002,Piso,3 habitación/es,3 Habit.,4 Baño.,263 m²
123,"RENTA. SAN JERONIMO, TIZAPAN SAN ANGEL. ALVARO OBREGON.",Ciudad de México,14.500 MXN,https://www.properstar.es/listing/81478278,Piso,1 habitación/es,1 Habit.,1 Baño.,100 m²
124,Departamentos remodelados en renta en Santa María la Ribera,"Ciudad de México, 226 Cedro",8000 MXN,https://www.properstar.es/listing/81508993,Piso,1 habitación/es,1 Habit.,1 Baño.,44 m²
125,Casa en Renta Col. Los Reyes Coyoacan,"Ciudad de México, 64 Tecla",23.000 MXN,https://www.properstar.es/listing/81413182,Casa independiente,12 habitación/es,3 Habit.,3 Baño.,200 m²
126,Excelente Departamento en Renta con Mantenimiento incluido en Ciudad de los Deportes .,"Ciudad de México, 280 Pensylvania",14.000 MXN,https://www.properstar.es/listing/80045082,Piso,4 habitación/es,2 Habit.,2 Baño.,88 m²
127,Hermoso Desarrollo de departamentos nuevos en extraordinaria ubicación,Ciudad de México,18.000 MXN,https://www.properstar.es/listing/70753353,Piso,2 habitación/es,2 Habit.,2 Baño.,102 m²
128,Casa en Renta Boulevard Virreyes - Lomas de Chapultepec IV Sección,Ciudad de México,120.225 MXN,https://www.properstar.es/listing/77381852,Casa independiente,4 habitación/es,4 Habit.,4 Baño.,500 m²
129,DEPARTAMENTO EN RENTA NARVARTE,Ciudad de México,25.500 MXN,https://www.properstar.es/listing/80743848,Piso,8 habitación/es,2 Habit.,2 Baño.,72.56 m²
130,RENTA DE CASA AMUEBLADA EL MIRADOR,Ciudad de México,13.750 MXN,https://www.properstar.es/listing/79363028,Casa independiente,2 habitación/es,2 Habit.,2 Baño.,112 m²
131,"DEPARTAMENTO EN RENTA SIN AVAL COMPLETAMENTE AMUEBLADO EN LA CONDESA CON SERVICIOS INCLUIDOS, EN EDIFICIO PET FRIENDLY",Ciudad de México,27.800 MXN,https://www.properstar.es/listing/77332981,Piso,1 habitación/es,1 Habit.,1 Baño.,51 m²
132,Departamento en Renta en Residencial Scala de Santa Fe,"Ciudad de México, Av. Vasco de Quiroga",23.000 MXN,https://www.properstar.es/listing/76386453,Piso,8 habitación/es,2 Habit.,2 Baño.,120 m²
133,"DEPARTAMENTO TIPO LOFT EN RENTA SIN AVAL EN LA COLONIA DEL VALLE, CON COCINA EQUIPADA Y BAÑO, EDIFICIO PET FRIENDLY",Ciudad de México,14.800 MXN,https://www.properstar.es/listing/75155855,Piso,1 habitación/es,1 Habit.,1 Baño.,30 m²
134,Rento Departamento en Santa Fe - Residencial La Campiña (Mantenimiento Incluido),"Ciudad de México, Av. Vasco de Quiroga",25.000 MXN,https://www.properstar.es/listing/80743844,Piso,2 habitación/es,2 Habit.,2 Baño.,160 m²
135,¡¡¡ Ven y Renta una Casa de Ensueño al Sur de la CDMX !!!,Ciudad de México,29.000 MXN,https://www.properstar.es/listing/78664640,Casa independiente,6 habitación/es,2 Habit.,2 Baño.,169 m²
136,Cerca de Basílica de Guadalupe muy amplio departamento en Renta,"Ciudad de México, Calzada de Guadalupe",15.000 MXN,https://www.properstar.es/listing/75734634,Piso,3 habitación/es,3 Habit.,2 Baño.,150 m²
137,"RENTA departamento a estrenar, 1 Rec., en le Yaqui, con bodega.","Ciudad de México, 5095 Carretera México - Toluca",11.000 MXN,https://www.properstar.es/listing/80766602,Piso,4 habitación/es,1 Habit.,1 Baño.,45.32 m²
138,Departamento en Renta Residencial Scala - Santa Fé,"Ciudad de México, 4309 Av. Vasco de Quiroga",23.000 MXN,https://www.properstar.es/listing/76386454,Piso,8 habitación/es,2 Habit.,2 Baño.,120 m²
139,PENTHOUSE CON TERRAZA EN AVENIDA SANTA FE,Ciudad de México,33.500 MXN,https://www.properstar.es/listing/78638118,Piso,6 habitación/es,2 Habit.,2 Baño.,140 m²
140,"CASA EN CONDOMINIO HORIZONTAL EN RENTA, CASTORENA, CUAJIMALPA, CDMX",Ciudad de México,25.700 MXN,https://www.properstar.es/listing/71937665,Casa con terraza,3 habitación/es,3 Habit.,2 Baño.,170 m²
141,"DEPARTAMENTO EN RENTA $28,500",Ciudad de México,28.500 MXN,https://www.properstar.es/listing/79305814,Piso,6 habitación/es,2 Habit.,2 Baño.,225 m²
142,DEPARTAMENTO AMUEBLADO A 5 MINUTOS DE SANTA FE,Ciudad de México,12.000 MXN,https://www.properstar.es/listing/70677302,Piso,1 habitación/es,1 Habit.,1 Baño.,45 m²
143,AMPLIO DEPARTAMENTO EN RENTA AMUEBLADO SOBRE CALLE AMSTERDAM COL. CONDESA EN LA MEJOR ZON PARA VIVIR EN LA CDMX,Ciudad de México,25.000 MXN,https://www.properstar.es/listing/80684993,Piso,2 habitación/es,2 Habit.,1 Baño.,97 m²
144,"¡Estrena departamento con roof garden privado, en zona céntrica!","Ciudad de México, 320 Calle 4 Prolongación Naranjo Sabino",15.500 MXN,https://www.properstar.es/listing/81444595,Piso,2 habitación/es,2 Habit.,2 Baño.,61.93 m²
145,RENTA DE LUJOSA CASA EN CUMBRES DE SANTA FE CON JARDIN Y TERRAZA,Ciudad de México,140.000 MXN,https://www.properstar.es/listing/81509046,Casa con terraza,4 habitación/es,4 Habit.,6 Baño.,415 m²
146,"El mejor departamento Super Terraza Privada, Chimalistac, San Angel, La Bombilla",Ciudad de México,28.000 MXN,https://www.properstar.es/listing/78664634,Piso,3 habitación/es,3 Habit.,2 Baño.,135 m²
147,Departamento en Renta en Citta San Jerónimo,Ciudad de México,14.000 MXN,https://www.properstar.es/listing/79385763,Piso,1 habitación/es,1 Habit.,1 Baño.,54 m²
148,Departamentos remodelados con balcón en renta en Santa María la Ribera,Ciudad de México,10.200 MXN,https://www.properstar.es/listing/81508992,Piso,2 habitación/es,2 Habit.,1 Baño.,63 m²
149,Casa en Renta en Lomas de Chapultepec IV Sección - Blvd. Virreyes,"Ciudad de México, Boulevard de Los Virreyes",120.225 MXN,https://www.properstar.es/listing/77381851,Casa independiente,4 habitación/es,4 Habit.,4 Baño.,500 m²
150,Departamentos remodelados con y sin balcón en renta col. Santa María la Ribera,Ciudad de México,11.400 MXN,https://www.properstar.es/listing/81508991,Piso,2 habitación/es,2 Habit.,1 Baño.,72 m²
151,Departamento en RENTA frente al TEC DE MONTERREY y cerca de ZONA DE HOSPITALES.,"Ciudad de México, 4999 Periferico Sur",15.000 MXN,https://www.properstar.es/listing/79826562,Piso,,,,110 m²
152,"La Mejor Alternativa de Cumbres de Santa Fe, Renta Basalto","Ciudad de México, 100 Carlos Lazo Basalto",80.000 MXN,https://www.properstar.es/listing/77977144,Piso,3 habitación/es,3 Habit.,3 Baño.,315 m²
153,EN RENTA / VENTA CASA A 5 MINUTOS DE SANTA FE EN LOMAS DE TARANGO,Ciudad de México,25.000 MXN,https://www.properstar.es/listing/77956223,Casa independiente,3 habitación/es,3 Habit.,2 Baño.,222.16 m²
154,"Lujoso Departamento en Renta Palmas Park $90,000",Ciudad de México,90.000 MXN,https://www.properstar.es/listing/78638121,Piso,2 habitación/es,2 Habit.,1 Baño.,480 m²
155,Atención jóvenes de Santa Fe,Ciudad de México,18.500 MXN,https://www.properstar.es/listing/78582612,Piso,3 habitación/es,1 Habit.,1 Baño.,85 m²
156,Casa con uso de suelo mixto en venta Col. Narvarte Poniente cerca de Hospital Mag Gregor,"Ciudad de México, 234 Heriberto Frias",120.000 MXN,https://www.properstar.es/listing/80524904,Casa independiente,4 habitación/es,4 Habit.,5 Baño.,788 m²
157,"SE RENTA DEPARTAMENTO EN WE SANTA FE EN $30,000.00 MXN",Ciudad de México,30.000 MXN,https://www.properstar.es/listing/78436093,Piso,2 habitación/es,2 Habit.,2 Baño.,101 m²
158,Departamento en Renta Col. Insurgentes Mixcoac,Ciudad de México,20.000 MXN,https://www.properstar.es/listing/81234175,Piso,2 habitación/es,2 Habit.,2 Baño.,120 m²
159,"DEPARTAMENTO EN PLANTA BAJA, DESARROLLO NUEVO CON VIGILANCIA, ESTACIONAMIENTO Y AREAS DE JUEGOS CERCA DEL METRO ACATITLA",Ciudad de México,6000 MXN,https://www.properstar.es/listing/76753870,Piso,2 habitación/es,2 Habit.,1 Baño.,70 m²
160,Renta Departamento en HighPark Sta Fe,Ciudad de México,50.000 MXN,https://www.properstar.es/listing/78582595,Piso,7 habitación/es,3 Habit.,2 Baño.,169 m²
161,SE RENTA DEPARTAMENTO AMUEBLADO 2 PISOS Y BALCÓN EN ARQUÍMEDES POLANCO,"Ciudad de México, 214 Arquímedes",38.500 MXN,https://www.properstar.es/listing/78513994,Piso,2 habitación/es,2 Habit.,2 Baño.,120 m²
162,"Departamento en renta a unos minutos de Santa Fe, CDMX",Ciudad de México,23.500 MXN,https://www.properstar.es/listing/80553846,Piso,7 habitación/es,2 Habit.,2 Baño.,96 m²
163,"Departamento Renta, San José de los Cedros, Cuajimalpa, CDMX.",Ciudad de México,9300 MXN,https://www.properstar.es/listing/76672101,Piso,2 habitación/es,2 Habit.,1 Baño.,70 m²
164,Departamento muy iluminado en renta en Providencia con 2 cajones de estacionamiento,Ciudad de México,20.000 MXN,https://www.properstar.es/listing/79252566,Piso,12 habitación/es,2 Habit.,3 Baño.,134 m²
165,¡A ESTRENAR! DEPARTAMENTO EN RENTA,Ciudad de México,25.000 MXN,https://www.properstar.es/listing/81263695,Piso,2 habitación/es,2 Habit.,2 Baño.,97 m²
166,LOFT EN RENTA EN EDIFICIO INTELIGENTE DE DEPARTAMENTOS NUEVOS CON EXCELENTE VISTA Y UBICACION,Ciudad de México,17.500 MXN,https://www.properstar.es/listing/73985307,Piso,1 habitación/es,1 Habit.,1 Baño.,61 m²
167,Amplio y super accesible departamento en renta en Gral Anaya BJ,Ciudad de México,20.000 MXN,https://www.properstar.es/listing/81199457,Piso,3 habitación/es,3 Habit.,3 Baño.,130 m²
168,Departamento estilo Colonial Mexicano con excelente ubicación para Ejecutivos en las lomas de Chapultepec,Ciudad de México,28.000 MXN,https://www.properstar.es/listing/74951282,Piso,6 habitación/es,2 Habit.,2 Baño.,225 m²
169,Departamento en renta San Miguel Chapultepec,"Ciudad de México, 49 Molinos del Campo",18.800 MXN,https://www.properstar.es/listing/81300200,Piso,2 habitación/es,2 Habit.,2 Baño.,82 m²
170,Depto de Lujo Polanco Lamartine RENTA AMUEBLADO,"Ciudad de México, 122 Lamartine",60.000 MXN,https://www.properstar.es/listing/80504917,Piso,2 habitación/es,2 Habit.,2 Baño.,152 m²
171,Departamento en renta en la Colonia Del Valle,"Ciudad de México, 207 Morena",14.500 MXN,https://www.properstar.es/listing/80591053,Piso,2 habitación/es,2 Habit.,2 Baño.,72 m²
172,Departamento SUPER UBICADO en Polanco,"Ciudad de México, 206 JOSE LUIS LAGRANGE",35.000 MXN,https://www.properstar.es/listing/76118589,Piso,8 habitación/es,2 Habit.,2 Baño.,250 m²
173,DEPARTAMENTO EN UNIDAD VILLA OLIMPICA DE 110M2 REMODELADO EXCELENTE UBICACIÓN SOBRE AV. INSURGENTES,Ciudad de México,19.000 MXN,https://www.properstar.es/listing/81300216,Piso,3 habitación/es,3 Habit.,2 Baño.,110 m²
174,"RENTO DEPARTAMENTO NUEVO PARA ESTRENAR CON TERRAZA, SANTA FE, CARR. MEXICO-TOLUCA $21,500.00 BAJA DE PRECIO!!",Ciudad de México,21.500 MXN,https://www.properstar.es/listing/70613948,Piso,7 habitación/es,2 Habit.,2 Baño.,87 m²
175,"Excelente departamento en Renta Av. México Coyoacán, Xoco Benito Juárez.","Ciudad de México, Av. México Coyoacán 281",20.000 MXN,https://www.properstar.es/listing/79687617,Piso,6 habitación/es,2 Habit.,2 Baño.,78 m²
176,RENTA Santa Fe Moderno Departamento Haus (naranja) Prolongación Paseo de la Reforma #1190. Iluminado. Súper ubicación. A 5 minutos del Parque la Mexicana,"Ciudad de México, 1190 Prolongación Paseo de la Reforma",26.500 MXN,https://www.properstar.es/listing/78582596,Piso,9 habitación/es,,3 Baño.,141 m²
177,Departamento Amueblado en Renta en San Ángel Plaza Loreto,"Ciudad de México, 1915 Av Revolución",31.000 MXN,https://www.properstar.es/listing/79749327,Piso,3 habitación/es,3 Habit.,3 Baño.,180.21 m²
178,Amplio departamento en Renta 3 Recámaras 2 Baños 2 Estacionamientos Col. Roma Sur,"Ciudad de México, 243 Tehuantepec",21.100 MXN,https://www.properstar.es/listing/80467756,Piso,3 habitación/es,3 Habit.,2 Baño.,110 m²
179,Departamento en Narvarte Poniente en Renta dos recamaras dos estacinamientos con amenidades,Ciudad de México,17.500 MXN,https://www.properstar.es/listing/81263868,Piso,2 habitación/es,2 Habit.,2 Baño.,65 m²
180,"Departamento en Renta $26,000 Bosques de las Lomas Amueblada o Semi Amueblado",Ciudad de México,26.000 MXN,https://www.properstar.es/listing/78582609,Piso,,,,170 m²
181,"Casa en Renta en San Nicolás Totolapan, con acceso por Fuentes del Pedregal.",Ciudad de México,22.000 MXN,https://www.properstar.es/listing/81263737,Casa con terraza,12 habitación/es,3 Habit.,5 Baño.,300 m²
182,Casa en Renta en San Nicolás Totolapan,Ciudad de México,27.500 MXN,https://www.properstar.es/listing/81335228,Casa con terraza,15 habitación/es,3 Habit.,4 Baño.,300 m²
183,Acogedor departamento en renta planta baja,Azcapotzalco,10.300 MXN,https://www.properstar.es/listing/81335254,Piso,4 habitación/es,2 Habit.,2 Baño.,69.4 m²
184,Departamento tipo medieval - Santa Úrsula Xitla,"Ciudad de México, 66 Textitlan",18.500 MXN,https://www.properstar.es/listing/80591071,Piso,2 habitación/es,2 Habit.,2 Baño.,120 m²
185,"Departamento en Renta en Parque Sur Residencial. Cerca de la ESCA Tepepan. del Tec de Monterrey, zona de hospitales y la UAM","Ciudad de México, 4860 Anillo Periférico, Blvrd. Adolfo Ruíz Cortínez",21.500 MXN,https://www.properstar.es/listing/81300202,Piso,3 habitación/es,3 Habit.,3 Baño.,100 m²
186,RENTA DEPARTAMENTO COMPLETAMENTE AMUEBLADO Y EQUIPADO EN PARQUES POLANCO,"Ciudad de México, 320 Lago Alberto",29.000 MXN,https://www.properstar.es/listing/81263873,Piso,2 habitación/es,2 Habit.,2 Baño.,117 m²
187,PH AMPLIO EN RENTA solo 3 DEPTOS EN EL EDIFICIO ( UNO POR PISO) A 10 MIN DEL MUSEO SOUMAYA,"Ciudad de México, 15 Presa Las Pilas",25.000 MXN,https://www.properstar.es/listing/79167614,Piso,2 habitación/es,2 Habit.,3 Baño.,163 m²
188,Renta de Departamento en la Del Valle - Av. Coyoacán #658,Ciudad de México,14.000 MXN,https://www.properstar.es/listing/81234329,Piso,5 habitación/es,2 Habit.,1 Baño.,70 m²
189,Renta departamento en Col. San Rafael,Ciudad de México,10.500 MXN,https://www.properstar.es/listing/81263735,Piso,2 habitación/es,2 Habit.,1 Baño.,60 m²
190,"El mejor Desarrollo Soleil, El Mejor Precio en Santa Fe",Ciudad de México,25.000 MXN,https://www.properstar.es/listing/77140538,Piso,3 habitación/es,3 Habit.,2 Baño.,135 m²
191,"Renta Loft nuevo PISO 21 Equipado-Aire Acond. Torre Mitikah Av. Churubusco, Benito Juarez","Ciudad de México, 21 Real de Mayorazgo # 130",20.000 MXN,https://www.properstar.es/listing/79657336,Piso,3 habitación/es,1 Habit.,1 Baño.,70 m²
