,Actividad
577,Fabricación de envases y contenedores de plástico para embalaje con y sin reforzamiento
578,Fabricación de equipo aeroespacial
579,Fabricación de equipo de aire acondicionado y calefacción
580,Fabricación de equipo de audio y de video
581,Fabricación de equipo de refrigeración industrial y comercial
582,"Fabricación de equipo de transmisión y recepción de señales de radio y televisión, y equipo de comunicación inalámbrico"
583,Fabricación de equipo eléctrico y electrónico y sus partes para vehículos automotores
584,Fabricación de equipo ferroviario
585,"Fabricación de equipo no electrónico para uso médico, dental y para laboratorio"
586,Fabricación de equipo para soldar y soldaduras
587,Fabricación de equipo telefónico
588,Fabricación de equipo y aparatos de distribución de energía eléctrica
589,"Fabricación de escobas, cepillos y similares"
590,Fabricación de espejos
591,Fabricación de espumas y productos de poliestireno
592,Fabricación de espumas y productos de uretano
593,Fabricación de estructuras metálicas
594,Fabricación de explosivos
595,Fabricación de fertilizantes
596,Fabricación de fibra de vidrio
597,Fabricación de fibras químicas
598,Fabricación de focos
599,Fabricación de gases industriales
600,Fabricación de herrajes y cerraduras
601,Fabricación de herramientas de mano metálicas sin motor
602,Fabricación de hilos para coser y bordar
603,Fabricación de huaraches y calzado de otro tipo de materiales
604,Fabricación de hules sintéticos
605,Fabricación de instrumentos musicales
606,"Fabricación de jabones, limpiadores y dentífricos"
607,Fabricación de juguetes
608,Fabricación de ladrillos no refractarios
609,Fabricación de laminados de plástico rígido
610,Fabricación de laminados y aglutinados de madera
611,Fabricación de llantas y cámaras
612,Fabricación de lámparas ornamentales
613,Fabricación de maquinaria y equipo agrícola
614,Fabricación de maquinaria y equipo para envasar y empacar
615,Fabricación de maquinaria y equipo para la construcción
616,Fabricación de maquinaria y equipo para la industria alimentaria y de las bebidas
617,Fabricación de maquinaria y equipo para la industria de la impresión
618,Fabricación de maquinaria y equipo para la industria de la madera
619,Fabricación de maquinaria y equipo para la industria del hule y del plástico
620,Fabricación de maquinaria y equipo para la industria del vidrio y otros minerales no metálicos
621,Fabricación de maquinaria y equipo para la industria extractiva
622,Fabricación de maquinaria y equipo para la industria metalmecánica
623,Fabricación de maquinaria y equipo para la industria textil
624,Fabricación de maquinaria y equipo para levantar y trasladar
625,Fabricación de maquinaria y equipo para otras industrias manufactureras
626,Fabricación de maquinaria y equipo pecuario
627,Fabricación de material desechable de uso médico
628,Fabricación de materias primas para la industria farmacéutica
629,Fabricación de motocicletas
630,"Fabricación de motores de combustión interna, turbinas y transmisiones"
631,Fabricación de motores y generadores eléctricos
632,Fabricación de motores y sus partes para vehículos automotrices
633,Fabricación de muebles de baño
634,Fabricación de muebles de oficina y estantería
635,"Fabricación de muebles, excepto cocinas integrales, muebles modulares de baño y muebles de oficina y estantería"
636,Fabricación de máquinas fotocopiadoras
637,Fabricación de otra maquinaria y equipo para el comercio y los servicios
638,Fabricación de otra maquinaria y equipo para la industria en general
639,Fabricación de otras partes para vehículos automotrices
640,Fabricación de otro equipo de transporte
641,Fabricación de otros equipos de comunicación
642,"Fabricación de otros instrumentos de medición, control, navegación, y equipo médico electrónico"
643,Fabricación de otros productos a base de minerales no metálicos
644,Fabricación de otros productos de cartón y papel
645,Fabricación de otros productos de cemento y concreto
646,"Fabricación de otros productos de cuero, piel y materiales sucedáneos"
647,Fabricación de otros productos de hierro y acero
648,Fabricación de otros productos de hule
649,Fabricación de otros productos de madera
650,Fabricación de otros productos de plástico con reforzamiento
651,Fabricación de otros productos de plástico de uso industrial sin reforzamiento
652,Fabricación de otros productos de plástico sin reforzamiento
653,Fabricación de otros productos de vidrio
654,Fabricación de otros productos eléctricos
655,Fabricación de otros productos metálicos
656,Fabricación de otros productos químicos
657,Fabricación de otros productos químicos básicos inorgánicos
658,Fabricación de otros productos químicos básicos orgánicos
659,Fabricación de papel a partir de pulpa
660,Fabricación de papel en plantas integradas
661,Fabricación de partes de sistemas de dirección y de suspensión para vehículos automotrices
662,Fabricación de partes de sistemas de frenos para vehículos automotrices
663,Fabricación de partes de sistemas de transmisión para vehículos automotores
664,Fabricación de pañales desechables y productos sanitarios
665,"Fabricación de películas, placas y papel fotosensible para fotografía"
666,Fabricación de persianas y cortineros
667,"Fabricación de pesticidas y otros agroquímicos, excepto fertilizantes"
668,Fabricación de petroquímicos básicos del gas natural y del petróleo refinado
669,Fabricación de piezas metálicas troqueladas para vehículos automotrices
670,Fabricación de pigmentos y colorantes sintéticos
671,Fabricación de pinturas y recubrimientos
672,Fabricación de preparaciones farmacéuticas
673,Fabricación de productos a base de piedras de cantera
674,Fabricación de productos abrasivos
675,Fabricación de productos de asfalto
676,Fabricación de productos de herrería
677,Fabricación de productos de madera de uso industrial
678,Fabricación de productos de madera para la construcción
679,"Fabricación de productos de materiales trenzables, excepto palma"
680,Fabricación de productos de papelería
681,Fabricación de productos de plástico para el hogar con y sin reforzamiento
682,Fabricación de productos eléctricos de carbón y grafito
683,Fabricación de productos metálicos forjados y troquelados
684,Fabricación de productos para embalaje y envases de madera
685,Fabricación de productos preesforzados de concreto
686,Fabricación de productos refractarios
687,Fabricación de productos textiles reciclados
688,Fabricación de pulpa
689,Fabricación de redes y otros productos de cordelería
690,Fabricación de relojes
691,Fabricación de resinas de plásticos reciclados
692,Fabricación de resinas sintéticas
693,Fabricación de ropa exterior de tejido de punto
694,Fabricación de ropa interior de tejido de punto
695,Fabricación de tanques metálicos de calibre grueso
696,Fabricación de telas anchas de tejido de trama
697,Fabricación de telas angostas de tejido de trama y pasamanería
698,Fabricación de telas de tejido de punto
699,Fabricación de telas no tejidas (comprimidas)
700,Fabricación de telas recubiertas
701,Fabricación de tintas para impresión
702,"Fabricación de tornillos, tuercas, remaches y similares"
703,"Fabricación de tubería y conexiones, y tubos para embalaje"
704,Fabricación de tubos y bloques de cemento y concreto
705,Fabricación de tubos y postes de hierro y acero
706,Fabricación de utensilios de cocina metálicos
707,Fabricación de velas y veladoras
708,Fabricación de vidrio
709,Fabricación de válvulas metálicas
710,Fabricación de yeso y productos de yeso
711,Fabricación y reproducción de medios magnéticos y ópticos
712,Farmacias con minisúper
713,Farmacias sin minisúper
714,Floricultura a cielo abierto
715,Floricultura en invernaderos y otras estructuras agrícolas protegidas
716,Fondos de aseguramiento campesino
717,Fondos de inversión
718,Fondos y fideicomisos financieros
719,Fundición y refinación de cobre
720,Fundición y refinación de metales preciosos
721,Fundición y refinación de otros metales no ferrosos
722,Generación de electricidad a partir de combustibles fósiles
723,Generación de electricidad a partir de energía eólica
724,Generación de electricidad a partir de energía hidráulica
725,Generación de electricidad a partir de energía solar
726,Generación de electricidad a partir de otro tipo de energía
727,Grabación de discos compactos (CD) y de video digital (DVD) o casetes musicales
728,Grupos musicales del sector público
729,"Grutas, parques naturales y otros sitios del patrimonio cultural de la nación"
730,Guarderías del sector privado
731,Guarderías del sector público
732,Hogares con empleados domésticos
733,Hojalatería y pintura de automóviles y camiones
734,Hospitales del sector privado de otras especialidades médicas
735,Hospitales del sector público de otras especialidades médicas
736,Hospitales generales del sector privado
737,Hospitales generales del sector público
738,Hospitales psiquiátricos y para el tratamiento por adicción del sector privado
739,Hospitales psiquiátricos y para el tratamiento por adicción del sector público
740,Hoteles con casino
741,Hoteles con otros servicios integrados
742,Hoteles sin otros servicios integrados
743,Impartición de justicia y mantenimiento de la seguridad y el orden público
744,Impresión de formas continuas y otros impresos
745,"Impresión de libros, periódicos y revistas"
746,Industria básica del aluminio
747,Industrias conexas a la impresión
748,Inmobiliarias y corredores de bienes raíces
749,Instalaciones de sistemas centrales de aire acondicionado y calefacción
750,Instalaciones eléctricas en construcciones
751,Instalaciones hidrosanitarias y de gas
752,Instalación de cristales y otras reparaciones a la carrocería de automóviles y camiones
753,Instalación de señalamientos y protecciones en obras viales
754,"Intermediación de comercio al por mayor de productos agropecuarios, excepto a través de internet y de otros medios electrónicos"
755,"Intermediación de comercio al por mayor de productos para la industria, el comercio y los servicios, excepto a través de internet y de otros medios electrónicos"
756,Intermediación de comercio al por mayor exclusivamente a través de internet y otros medios electrónicos
757,"Intermediación de comercio al por mayor para productos de uso doméstico y personal, excepto a través de internet y de otros medios electrónicos"
758,Jardines botánicos y zoológicos del sector privado
759,Jardines botánicos y zoológicos del sector público
760,Joyería de metales y piedras no preciosos y de otros materiales
761,Laboratorios de pruebas
762,Laboratorios médicos y de diagnóstico del sector privado
763,Laboratorios médicos y de diagnóstico del sector público
764,Laminación secundaria de cobre
765,Laminación secundaria de otros metales no ferrosos
766,Lavado y lubricado de automóviles y camiones
767,Lavanderías y tintorerías
768,MONTEPIOS
769,Maquinado de piezas para maquinaria y equipo en general
770,Marinas turísticas
771,"Matanza de ganado, aves y otros animales comestibles"
772,Metalistería de metales no preciosos
773,Minería de arena y grava para la construcción
774,Minería de azufre
775,Minería de barita
776,Minería de caolín
777,Minería de carbón mineral
778,Minería de cobre
779,Minería de feldespato
780,Minería de fluorita
781,Minería de grafito
782,Minería de hierro
783,Minería de manganeso
784,Minería de mercurio y antimonio
785,Minería de minerales no metálicos para productos químicos
786,Minería de mármol
787,Minería de oro
788,Minería de otras arcillas y de otros minerales refractarios
789,Minería de otras piedras dimensionadas
790,Minería de otros minerales metálicos
791,Minería de otros minerales no metálicos
792,Minería de piedra caliza
793,Minería de piedra de yeso
794,Minería de plata
795,Minería de plomo y zinc
796,Minería de roca fosfórica
797,Minería de sal
798,Minería de sílice
799,Minería de tezontle y tepetate
800,Minería de uranio y minerales radiactivos
801,Moldeo por fundición de piezas de hierro y acero
802,Moldeo por fundición de piezas metálicas no ferrosas
803,Montaje de estructuras de acero prefabricadas
804,Montaje de estructuras de concreto prefabricadas
805,Montepíos
806,Moteles
807,Museos del sector privado
808,Museos del sector público
809,N/D
810,Notarías públicas
811,OPERADORES DE SERVICIOS DE TELECOMUNICACIONES ALÁMBRICAS
812,OPERADORES DE SERVICIOS DE TELECOMUNICACIONES INALÁMBRICAS
813,Obtención de alcohol etílico potable
814,Operadores de servicios de telecomunicaciones alámbricas
815,Operadores de servicios de telecomunicaciones inalámbricas
816,Operadores de servicios de telecomunicaciones vía satélite
817,Orfanatos y otras residencias de asistencia social del sector privado
818,Orfanatos y otras residencias de asistencia social del sector público
819,Orfebrería y joyería de metales y piedras preciosos
820,Organismos internacionales
821,Organización de excursiones y paquetes turísticos para agencias de viajes (Operadores de tours)
822,Organizadores de convenciones y ferias comerciales e industriales
823,Otras compañías y grupos de espectáculos artísticos del sector privado
824,Otras compañías y grupos de espectáculos artísticos del sector público
825,Otras construcciones de ingeniería civil
826,Otras industrias manufactureras
827,Otras instalaciones y equipamiento en construcciones
828,Otras instituciones de ahorro y préstamo
829,Otras instituciones de intermediación crediticia y financiera no bursátil
830,Otras reparaciones mecánicas de automóviles y camiones
831,Otro autotransporte foráneo de carga especializado
832,Otro autotransporte foráneo de carga general
833,Otro autotransporte local de carga especializado
834,Otro autotransporte local de carga general
835,Otro transporte terrestre de pasajeros
836,Otro transporte turístico
837,Otros centros del sector privado para la atención de pacientes que no requieren hospitalización
838,Otros centros del sector público para la atención de pacientes que no requieren hospitalización
839,Otros consultorios del sector privado para el cuidado de la salud
840,Otros consultorios del sector público para el cuidado de la salud
841,Otros cultivos
842,Otros cultivos no alimenticios en invernaderos y otras estructuras agrícolas protegidas
843,Otros juegos de azar
844,Otros servicios de almacenamiento con instalaciones especializadas
845,Otros servicios de almacenamiento general sin instalaciones especializadas
846,Otros servicios de apoyo a los negocios
847,Otros servicios de apoyo secretarial y similares
848,Otros servicios de consultoría científica y técnica
849,Otros servicios de grabación del sonido
850,Otros servicios de intermediación para el transporte de carga
851,Otros servicios de limpieza
852,Otros servicios de manejo de residuos por el sector privado
853,Otros servicios de manejo de residuos por el sector público
854,Otros servicios de orientación y trabajo social prestados por el sector privado
855,Otros servicios de orientación y trabajo social prestados por el sector público
856,Otros servicios de reparación y mantenimiento de automóviles y camiones
857,Otros servicios de reservaciones
858,Otros servicios de suministro de información
859,Otros servicios de telecomunicaciones
860,Otros servicios educativos proporcionados por el sector privado
861,Otros servicios educativos proporcionados por el sector público
862,Otros servicios personales
863,"Otros servicios profesionales, científicos y técnicos"
864,Otros servicios recreativos prestados por el sector privado
865,Otros servicios recreativos prestados por el sector público
866,Otros servicios relacionados con el transporte
867,Otros servicios relacionados con el transporte aéreo
868,Otros servicios relacionados con el transporte por agua
869,Otros servicios relacionados con la agricultura
870,Otros servicios relacionados con la contabilidad
871,Otros servicios relacionados con la intermediación bursátil
872,Otros servicios relacionados con la minería
873,Otros servicios relacionados con los servicios inmobiliarios
874,Otros trabajos de acabados en edificaciones
875,Otros trabajos en exteriores
876,Otros trabajos especializados para la construcción
877,Panificación industrial
878,Panificación tradicional
879,Parques acuáticos y balnearios del sector privado
880,Parques acuáticos y balnearios del sector público
881,Parques de diversiones y temáticos del sector privado
882,Parques de diversiones y temáticos del sector público
883,Pensiones y casas de huéspedes
884,Perforación de pozos petroleros y de gas
885,Pesca de camarón
886,Pesca de sardina y anchoveta
887,Pesca de túnidos
888,"Pesca y captura de otros peces, crustáceos, moluscos y otras especies"
889,"Piscicultura y otra acuicultura, excepto camaronicultura"
890,Pistas para esquiar
891,"Preparación de embutidos y otras conservas de carne de ganado, aves y otros animales comestibles"
892,Preparación de terrenos para la construcción
893,Preparación e hilado de fibras blandas naturales
894,Preparación e hilado de fibras duras naturales
895,Preparación y envasado de pescados y mariscos
896,Preparación y envasado de té
897,"Procesamiento electrónico de información, hospedaje y otros servicios relacionados"
898,Producción de aves en incubadora
899,Producción de películas
900,Producción de programación de canales para sistemas de televisión por cable o satelitales
901,Producción de programas para la televisión
902,"Producción de videoclips, comerciales y otros materiales audiovisuales"
903,Productoras y distribuidoras discográficas
904,"Promotores de espectáculos artísticos, culturales, deportivos y similares que no cuentan con instalaciones para presentarlos"
905,"Promotores del sector privado de espectáculos artísticos, culturales, deportivos y similares que cuentan con instalaciones para presentarlos"
906,"Promotores del sector público de espectáculos artísticos, culturales, deportivos y similares que cuentan con instalaciones para presentarlos"
907,Purificación y embotellado de agua
908,Realización de trabajos de carpintería en el lugar de la construcción
909,Recolección de productos forestales
910,Recolección de residuos no peligrosos por el sector privado
911,Recolección de residuos no peligrosos por el sector público
912,Recolección de residuos peligrosos por el sector privado
913,Recolección de residuos peligrosos por el sector público
914,Rectificación de partes de motor de automóviles y camiones
915,Recubrimientos y terminados metálicos
916,Recuperación de residuos por el sector privado
917,Recuperación de residuos por el sector público
918,Refinación de petróleo
919,Refugios temporales comunitarios del sector privado
920,Refugios temporales comunitarios del sector público
921,Regulación y fomento de actividades para mejorar y preservar el medio ambiente
922,Regulación y fomento del desarrollo económico
923,Relaciones exteriores
924,Reparación de calzado y otros artículos de piel y cuero
925,Reparación de suspensiones de automóviles y camiones
926,Reparación de tapicería de muebles para el hogar
927,Reparación de transmisiones de automóviles y camiones
928,Reparación del sistema eléctrico de automóviles y camiones
929,Reparación mecánica en general de automóviles y camiones
930,Reparación menor de llantas
931,Reparación y mantenimiento de aparatos eléctricos para el hogar y personales
932,Reparación y mantenimiento de bicicletas
933,Reparación y mantenimiento de equipo electrónico de uso doméstico
934,Reparación y mantenimiento de maquinaria y equipo agropecuario y forestal
935,Reparación y mantenimiento de maquinaria y equipo comercial y de servicios
936,Reparación y mantenimiento de maquinaria y equipo industrial
937,"Reparación y mantenimiento de maquinaria y equipo para mover, levantar y acomodar materiales"
938,Reparación y mantenimiento de motocicletas
939,Reparación y mantenimiento de otro equipo electrónico y de equipo de precisión
940,Reparación y mantenimiento de otros artículos para el hogar y personales
941,"Residencias del sector privado con cuidados de enfermeras para enfermos convalecientes, en rehabilitación, incurables y terminales"
942,Residencias del sector privado para el cuidado de personas con problemas de retardo mental
943,Residencias del sector privado para el cuidado de personas con problemas de trastorno mental y adicción
944,"Residencias del sector público con cuidados de enfermeras para enfermos convalecientes, en rehabilitación, incurables y terminales"
945,Residencias del sector público para el cuidado de personas con problemas de retardo mental
946,Residencias del sector público para el cuidado de personas con problemas de trastorno mental y adicción
947,Restaurantes con servicio de preparación de alimentos a la carta o de comida corrida
948,Restaurantes con servicio de preparación de antojitos
949,Restaurantes con servicio de preparación de pescados y mariscos
950,"Restaurantes con servicio de preparación de pizzas, hamburguesas, hot dogs y pollos rostizados para llevar"
951,Restaurantes con servicio de preparación de tacos y tortas
952,Restaurantes de autoservicio
953,Restaurantes que preparan otro tipo de alimentos para llevar
954,Revitalización de llantas
955,SOCIEDADES FINANCIERAS DE OBJETO LIMITADO
956,SUMINISTRO DE GAS POR DUCTOS AL CONSUMIDOR FINAL
957,Salones y clínicas de belleza y peluquerías
958,Sanitarios públicos y bolerías
959,Sedes diplomáticas y otras unidades extraterritoriales
960,Servicios a la navegación aérea
961,Servicios combinados de apoyo en instalaciones
962,Servicios de acceso a computadoras
963,Servicios de administración de bienes raíces
964,"Servicios de administración de carreteras, puentes y servicios auxiliares"
965,Servicios de administración de centrales camioneras
966,Servicios de administración de negocios
967,Servicios de agencias aduanales
968,Servicios de alimentación comunitarios prestados por el sector privado
969,Servicios de alimentación comunitarios prestados por el sector público
970,"Servicios de alquiler de marcas registradas, patentes y franquicias"
971,Servicios de ambulancias
972,Servicios de apoyo a la educación
973,Servicios de apoyo para efectuar trámites legales
974,Servicios de arquitectura
975,Servicios de arquitectura de paisaje y urbanismo
976,"Servicios de bancos de órganos, bancos de sangre y otros servicios auxiliares al tratamiento médico prestados por el sector privado"
977,"Servicios de bancos de órganos, bancos de sangre y otros servicios auxiliares al tratamiento médico prestados por el sector público"
978,Servicios de blindaje y de adaptación de automóviles y camiones
979,Servicios de báscula para el transporte y otros servicios relacionados con el transporte por carretera
980,"Servicios de capacitación para el trabajo prestados por el sector privado para personas desempleadas, subempleadas o con discapacidad"
981,"Servicios de capacitación para el trabajo prestados por el sector público para personas desempleadas, subempleadas o con discapacidad"
982,Servicios de carga y descarga para el transporte por agua
983,Servicios de casetas telefónicas
984,Servicios de comedor para empresas e instituciones
985,Servicios de consultoría en administración
986,Servicios de consultoría en medio ambiente
987,Servicios de contabilidad y auditoría
988,Servicios de control y exterminación de plagas
989,Servicios de dibujo
990,Servicios de diseño de sistemas de cómputo y servicios relacionados
991,Servicios de elaboración de mapas
992,Servicios de emergencia comunitarios prestados por el sector privado
993,Servicios de emergencia comunitarios prestados por el sector público
994,Servicios de empacado y etiquetado
995,Servicios de enfermería a domicilio
996,"Servicios de fotocopiado, fax y afines"
997,Servicios de fotografía y videograbación
998,Servicios de fumigación agrícola
999,Servicios de grúa
1000,Servicios de ingeniería
1001,Servicios de inspección de edificios
1002,Servicios de instalación y mantenimiento de áreas verdes
1003,"Servicios de investigación científica y desarrollo en ciencias naturales y exactas, ingeniería, y ciencias de la vida, prestados por el sector privado"
1004,"Servicios de investigación científica y desarrollo en ciencias naturales y exactas, ingeniería, y ciencias de la vida, prestados por el sector público"
1005,"Servicios de investigación científica y desarrollo en ciencias sociales y humanidades, prestados por el sector privado"
1006,"Servicios de investigación científica y desarrollo en ciencias sociales y humanidades, prestados por el sector público"
1007,Servicios de investigación de mercados y encuestas de opinión pública
1008,"Servicios de investigación y de protección y custodia, excepto mediante monitoreo"
1009,Servicios de levantamiento geofísico
1010,Servicios de limpieza de inmuebles
1011,"Servicios de limpieza de tapicería, alfombras y muebles"
1012,Servicios de mensajería y paquetería foránea
1013,Servicios de mensajería y paquetería local
1014,Servicios de mudanzas
1015,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector privado
1016,Servicios de orientación y trabajo social para la niñez y la juventud prestados por el sector público
1017,Servicios de postproducción y otros servicios para la industria fílmica y del video
1018,Servicios de preparación de alimentos en unidades móviles
1019,Servicios de preparación de alimentos para ocasiones especiales
1020,Servicios de preparación de documentos
1021,Servicios de preparación de otros alimentos para consumo inmediato
1022,Servicios de profesores particulares
1023,Servicios de protección y custodia mediante el monitoreo de sistemas de seguridad
1024,Servicios de recepción de llamadas telefónicas y promoción por teléfono
1025,Servicios de remediación de residuos por el sector privado
1026,Servicios de remediación de residuos por el sector público
1027,Servicios de revelado e impresión de fotografías
1028,Servicios de rotulación y otros servicios de publicidad
1029,Servicios de traducción e interpretación
1030,Servicios funerarios
1031,Servicios para la navegación por agua
1032,Servicios postales
1033,Servicios relacionados con el aprovechamiento forestal
1034,Servicios relacionados con el transporte por ferrocarril
1035,Servicios relacionados con la cría y explotación de animales
1036,Servicios relacionados con la intermediación crediticia no bursátil
1037,Servicios veterinarios para la ganadería prestados por el sector privado
1038,Servicios veterinarios para la ganadería prestados por el sector público
1039,Servicios veterinarios para mascotas prestados por el sector privado
1040,Servicios veterinarios para mascotas prestados por el sector público
1041,Silvicultura
1042,Sitios históricos
1043,Sociedades de inversión especializadas en fondos para el retiro
1044,Sociedades financieras de objeto múltiple
1045,Suministro de gas natural por ductos al consumidor final
1046,Suministro de personal permanente
1047,Supervisión de construcción de obras de generación y conducción de energía eléctrica y de obras para telecomunicaciones
1048,"Supervisión de construcción de obras para el tratamiento, distribución y suministro de agua, drenaje y riego"
1049,Supervisión de construcción de obras para petróleo y gas
1050,Supervisión de construcción de otras obras de ingeniería civil
1051,Supervisión de construcción de vías de comunicación
1052,Supervisión de división de terrenos y de construcción de obras de urbanización
1053,Supervisión de edificación de inmuebles comerciales y de servicios
1054,Supervisión de edificación de naves y plantas industriales
1055,Supervisión de edificación residencial
1056,Tala de árboles
1057,Tapicería de automóviles y camiones
1058,Tenedoras de acciones
1059,Trabajos de albañilería
1060,Trabajos de cimentaciones
1061,"Trabajos de enyesado, empastado y tiroleado"
1062,Trabajos de pintura y otros cubrimientos de paredes
1063,Transmisión de energía eléctrica
1064,Transmisión de programas de radio
1065,Transmisión de programas de televisión
1066,Transporte aéreo no regular
1067,Transporte aéreo regular en líneas aéreas extranjeras
1068,Transporte aéreo regular en líneas aéreas nacionales
1069,Transporte colectivo foráneo de pasajeros de ruta fija
1070,Transporte colectivo urbano y suburbano de pasajeros en autobuses de ruta fija
1071,Transporte colectivo urbano y suburbano de pasajeros en autobuses que transitan en carril exclusivo
1072,Transporte colectivo urbano y suburbano de pasajeros en automóviles de ruta fija
1073,Transporte colectivo urbano y suburbano de pasajeros en metro
1074,Transporte colectivo urbano y suburbano de pasajeros en trolebuses y trenes ligeros
1075,Transporte de gas natural por ductos
1076,Transporte de pasajeros en taxis de ruleteo
1077,Transporte de pasajeros en taxis de sitio
1078,Transporte de petróleo crudo por ductos
1079,Transporte escolar y de personal
1080,"Transporte marítimo de altura, excepto de petróleo y gas natural"
1081,"Transporte marítimo de cabotaje, excepto de petróleo y gas natural"
1082,Transporte marítimo de petróleo y gas natural
1083,Transporte por aguas interiores
1084,"Transporte por ductos de otros productos, excepto de productos refinados del petróleo"
1085,Transporte por ductos de productos refinados del petróleo
1086,Transporte por ferrocarril
1087,Transporte turístico por agua
1088,Transporte turístico por tierra
1089,Tratamiento de la madera y fabricación de postes y durmientes
1090,Tratamiento y disposición final de residuos no peligrosos por el sector privado
1091,Tratamiento y disposición final de residuos no peligrosos por el sector público
1092,Tratamiento y disposición final de residuos peligrosos por el sector privado
1093,Tratamiento y disposición final de residuos peligrosos por el sector público
1094,Uniones de crédito
1095,"Venta de billetes de lotería, pronósticos deportivos y otros boletos de sorteo"
1096,Viveros forestales
1097,Órganos legislativos
