,Nombre Comercial,Cámara,Actividad,Entidad Federativa
216,DESARROLLOS URBANOS DUVIPAMEX,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
217,HOTEL PANUCO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
218,TURISMO CON PASION,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
219,HOTEL LECTUS,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
220,OPERADORA DE HOTELES CITY EXPRESS,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
221,JW MARRIOTT HOTEL MEXICO CITY,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
222,HOTELERA DANIEL,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
223,,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
224,HOTEL GUADALAJARA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
225,HOTEL BARCELO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
226,CONGREGACION DE HOTELES VILLA HERMOSA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
227,MBC HOTELS,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
228,FIESTA INN,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
229,PROMOTORA TURISTICA BALES,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
230,HOTEL ELITE,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
231,HOTELERA AZTECA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
232,HOTELES ROMANO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
233,TRES DIAMANTES,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
234,HOTEL SIN NOMBRE,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
235,GARCAR,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
236,GRUPO POSADAS,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
237,HOSPEDAJES LA COMERCIAL,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
238,HOTEL FIESTA AMERICANA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
239,EUROSUITES,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
240,HOTELERA ROYALTY,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
241,HOTEL MAZOY,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
242,SUITES AMBERES,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
243,HOTEL SIN NOMBRE,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
244,HOTELERA AGRICOLA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
245,INMOBILIARIA VALLEJO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
246,MOTEL ERMITA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
247,"HOTELERIA MUIÑOS, S.A. DE C.V.",CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
248,HOTELERA PIRAMIDES,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
249,INMOBILIARIA HOTELERA CASA BLANCA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
250,HOTELERA IZAZAGA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
251,LOMBA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
252,CASA DE HUESPEDES,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
253,FIDEICOMISO F 1596,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
254,HOTEL SUITES SAN MARINO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
255,OPERADORA SONORA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
256,HOTEL KENNEDY,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
257,TURISMO CON PASION,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
258,HOTEL CIRCUITO SA DE CV,CANACO SERVYTUR GUSTAVO A MADERO,Hoteles con otros servicios integrados,Ciudad de México
259,VILLAS TLAHUAC,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
260,HOTEL 13-A,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
261,HOTEL MAZATLAN,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
262,HOSPEDAJES LA COMERCIAL,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
263,"TROULA 40, S.A. DE C.V.",CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
264,HOTEL SANTANDER,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
265,HOTEL MIGUEL ANGEL,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
266,QUIROOCAN,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
267,HOSPEDAJES LA COMERCIAL,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
268,S.N.T.M.M.S.R.M.,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
269,HOTEL VERONA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
270,HOTEL CALIFORNIA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
271,HOTEL CONTINENTAL MEXICANO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
272,CASAL ALEN ROSENDO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
273,HOSTAL CIUDAD DE MEXICO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
274,OPERADORA HOTELERA MICHELANGELO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
275,"ADMINISTRADORA DE HOTELES COMONFORT, S.A.",CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
276,HOTEL DEL PARQUE,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
277,HOTEL ONE,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
278,HOTEL GALVAS,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
279,HOTEL MEXICO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
280,OPERADORA ROOM MATE MEXICO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
281,HOTEL MORELIA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
282,ESMA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
283,HOTEL SIESTA DEL SUR,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
284,FONTE DO CARBALLO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
285,SERVICIO MIRAVALLE,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
286,INMOBILIARIA MILLOALTO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
287,HOTELES FRIMONT SA,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
288,OPERADORA HOTELERA ROYAL,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
289,HOTEL FARIAS,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
290,AGARIMOS,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
291,INMOBILIARIA HOTELERA ORENSE,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
292,HOTELERIA DE LA PARRA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
293,HOTEL LA MILPA CENTENARIO,CANACO SERVYTUR GUSTAVO A MADERO,Hoteles con otros servicios integrados,Ciudad de México
294,HOSPEDAJES ROMO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
295,ABECOR,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
296,OPERADORA ALRO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
297,HOTELES Y TRANSPORTES DEL CIELO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
298,PROMOTORA DE HOTELES MIXHUCA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
299,HOTEL H5533,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
300,ADMINISTRACIONES CEDRO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
301,HOTELITO SAN RAFAEL,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
302,FIESTA INN FORUM BUENA VISTA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
303,HOTEL ZAMORA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
304,HOTEL COSTA AZUL,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
305,HOTEL MEXICO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
306,OPERADORA REFORMA AVENUE,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
307,HOSTAL SIN NOMBRE,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
308,SEVI,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
309,ABECOR,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
310,"ANDURIÑA, S.A. DE C.V.",CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
311,HOTEL ROYAL,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
312,HOTEL PANUCO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
313,HOTELERIA MUÑOS,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
314,"VIADU, S.A. DE C.V.",CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
315,ARRENDAMIENTO ESPECIALIZADO TURISTICO SA DE CV,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
316,UNION IMPULSORA DE HOTELES,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
317,"PATACAS, S.A. DE C.V.",CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
318,HOTEL SANTANDER,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
319,HOTELO PICACHO SA DE CV,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
320,OPERADORA DE HOTELES SAMARA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
321,OPERADORA HOTELERA IBA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
322,HOTEL QUINTA RUBI,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
323,,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
324,ASR INMOBILIARIA SA DE CV,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
325,"INMOBILIARIA Y ADMINISTRADORA TRES NACIONES, S.A. DE C.V.",CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
326,HOTEL SIN NOMBRE,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
327,HOTEL METROPOL,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
328,HOSPEDAJES DEL CENTRO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
329,OPERADORA ESCANDON,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
330,FIDEICOMISO F/1596,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
331,HOTELERA DEL CENTRO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
332,INMOBILIARIA LOA AREVALOS SA DE CV,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
333,HOTEL LE MERIDIEN,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
334,HOTELERA GUVI SA DE CV,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
335,,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
336,OPERADORA DE HOTELES PEREIRO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
337,OPERADORA HOTEL CENTRO HISTORICO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
338,SOLUMA SA DE CV,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
339,BLOCK SUITES,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
340,HOTEL PRINCIPAL,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
341,AMUEBLADOS COLONIA DEL VALLE,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
342,HOTEL MX ROMA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
343,"CADENA HOTELERA H DE A, SA DE CV",CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
344,VILLAS TLAHUAC,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
345,INMOBILIARIA TULYEHUALCO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
346,LAXAS,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
347,BECOÑA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
348,HOTEL EL GRECO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
349,ESTANCIAS EXTENDIDAS,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
350,HOTEL SIN NOMBRE,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
351,HOTEL RIVIERA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
352,HOTELERIA RUBI,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
353,HOTEL TOLEDO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
354,HOTELERA PLAZA DALI,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
355,HOTEL SIN NOMBRE,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
356,HOSPEDAJES LA COMERCIAL,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
357,HOTEL COSTA BRAVA,CANACO SERVYTUR GUSTAVO A MADERO,Hoteles con otros servicios integrados,Ciudad de México
358,IMPULSORA PLAZA CELAYA SA DE CV,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
359,"PEDRAS, S.A. DE C.V.",CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
360,HOTEL VILLAS PANAMA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
361,MORANIN,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
362,OPERADORA TURISTICA PREMIUM,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
363,"REDUSO, S.A. DE C.V.",CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
364,HOTEL BERVELY,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
365,HOTEL VERMONT,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
366,HOTEL SORA SA DE CV,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
367,FIDEICOMISO F/1596,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
368,HOTEL ESTRELLA DE ORIENTE,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
369,HOTEL ENSENADA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
370,HOTELS AND CONVENTIONS GROUP,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
371,HOTEL VERONA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
372,HOTELERA NORTEÑA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
373,HOTEL GILBET,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
374,HOTELERA CENTRO HISTORICO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
375,HOTEL VIENA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
376,HOTEL TIO SAM,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
377,"GATEIRAS, S.A. DE C.V.",CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
378,HOTEL EL GRECO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
379,HOTEL PARK VILLA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
380,INMOBILIARIA NOVA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
381,HOTEL CORONA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
382,HOTELERA ARANJUEZ SA DE CV,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
383,VILLAS COLONIA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
384,HOTEL ASENJO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
385,OPERADORA HOTELERA ROYAL,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
386,HOSPEDAJE LA COMERCIAL,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
387,HOTEL ATENAS PLAZA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
388,COMPETENCIA EDUCATIONAL EQUIPAMENT,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
389,OPERADORA BOULEVARD PLAZA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
390,HOTELES MISISON,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
391,HOTEL FIESTA AMERICANA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
392,HOTEL COYOACAN,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
393,HOTEL VILLAS & SUITE,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
394,FOREA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
395,"OPERADORA HOTEL HSFS, S.A. DE C.V.",CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
396,OPERADORA TURISTICA GALAS SA DE CV,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
397,ARRENDADORA DE INMUEBLES MIRAMAR,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
398,HOTEL MAZOY,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
399,INMUEBLES TIBER,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
400,HOTEL BARCELONA,CANACO SERVYTUR GUSTAVO A MADERO,Hoteles con otros servicios integrados,Ciudad de México
401,HOTEL MARRIOT,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
402,HOSPEDAJES LA COMERCIAL,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
403,JA AMIGO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
404,INMOBILIARIA BUFALO BLANCO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
405,HOSPEDAJES LA COMERCIAL,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
406,HOTEL DANY,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
407,SNTMMSRM,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
408,OPERADORA CRECEIRO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
409,HOTELERA PATRIOTISMO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
410,HOTEL TIO SAM,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
411,HOTEL METROPOL,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
412,AZORES HOTEL,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
413,CATACA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
414,PEÑON S DE RL DE CV,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
415,HOTEL FIESTA INN PLAZA CENTRAL,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
416,HOTEÑ¡L MX REFORMA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
417,HOTEL PALACE,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
418,GENEVE HOTEL,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
419,HOTEL RAMADA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
420,PENSILVANIA SUITES,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
421,INMOBILIARIA BACU,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
422,GRAN HOTEL AMAZONAS,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
423,"MILLORA, S.A. DE C.V.",CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
424,MARRIOTT HOTEL,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
425,ROSTEL,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
426,HOTEL HUTULCO ZARAGOZA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
427,OPERADORA TURISTICA ORIGEN SA DE CV,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
428,HOTEL CAMPECHE,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
429,HOTELES CAMINO REAL,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
430,KESTER,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
431,GRUPO POSADA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
