,Nombre Comercial,Cámara,Actividad,Entidad Federativa
432,DIRECCION CORPORATIVA POSADAS,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
433,HOTEL PARAISO DEL SUR,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
434,"OPERADORA BRVESAL, S.A. DE C.V.",CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
435,CASA MX ALAMEDA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
436,OPERADORA FILADELFIA S.A. DE C.V.,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
437,MARRUECOS,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
438,PROYECTO 1818,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
439,OPERADORA DE SERVICIOS PARA HOTELES DE LUJO SA DE CV,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
440,,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
441,HOTEL GUADALAJARA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
442,PROMOCIONES TURISTICAS ABASTO SA DE CV,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
443,HOTEL OLIMPO,CANACO SERVYTUR GUSTAVO A MADERO,Hoteles con otros servicios integrados,Ciudad de México
444,HOTEL MEXICO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
445,SERVICIOS AVENIDA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
446,HOTELERA PATRIOTISMO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
447,ADMINISTRACION DE HOTELES GRT SA DE CV,CANACO SERVYTUR ALVARO OBREGON,Hoteles con otros servicios integrados,Ciudad de México
448,HOTELL PLATINO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
449,HOTEL MAGNOLIAS,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
450,SANTA FEDERICA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
451,HOTEL WASHINGTON,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
452,HOTEL EJE,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
453,"ADMINISTRADORA DE HOTELES LA LIBERTAD, S.A. DE C.V.",CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
454,PROMOCIONES RIO PLATA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
455,HOTEL PUENTE,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
456,GEVIC SA DE CV,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
457,HOTEL MONACO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
458,HOTEL MARRIOTT,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
459,HOTELERA SAN JERONIMO SA DE CV,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
460,HOTEL YALE,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
461,OPERADORA BRUESAL SA DE CV,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
462,HOTEL MX REFORMA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
463,OPERADORA ALRO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
464,OPERADORA HOTEL ANCONA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
465,CASA DE HUESPEDES,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
466,OPERADORA NEMI,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
467,HOTEL ARAGON PLAZA,CANACO SERVYTUR GUSTAVO A MADERO,Hoteles con otros servicios integrados,Ciudad de México
468,PLAZA CAMARONES,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
469,HOTEL SANTA FE,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
470,INMOBILIARIA PEÑASAGRA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
471,HOTEL MAGNOLIA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
472,HOTEL LEREVE,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
473,HOTEL CALETA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
474,HOSPEDAJES LA COMERCIAL,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
475,FIESTA INN,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
476,HOTEL EMPIRE,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
477,HOTEL H5533,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
478,HOTELERA ALFA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
479,"CATACA, S.A. DE C.V.",CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
480,HOTEL MARRIOTT,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
481,SIESTA DEL SUR,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
482,HOTEL BERNAL DIAZ,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
483,NH HOTELES,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
484,HOTEL LAS VEGAS,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
485,HOTELERA MARLOWE,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
486,SOLMAR,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
487,GRUPO INMOB Y ALMACENAJE,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
488,HOTEL SIN NOMBRE,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
489,HOSPEDAJES LA COMERCIAL,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
490,HOTEL HERMITA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
491,HOTEL SIN NOMBRE,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
492,KEDMA SANTA FE SPA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
493,PROMOCONTRERAS,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
494,LOS ARCOS,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
495,OPERADORA TORREMOLINOS,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
496,HOTEL URUPIN,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
497,PROMOTORA DE HOTELES IMPERIAL,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
498,GRUPO POSADAS,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
499,HOTEL MODELO,CANACO SERVYTUR GUSTAVO A MADERO,Hoteles con otros servicios integrados,Ciudad de México
500,HOTEL ATENAS PLAZA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
501,PIEDRAS,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
502,HOTEL SIN NOMBRE,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
503,FIESTA INN,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
504,HOTEL FLAMINGOS PLAZA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
505,IRIA FLAVIA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
506,HOTEL EL COLOSO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
507,RESKEN,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
508,HOSPEDAJES LA COMERCIAL,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
509,HOTEL CORTINA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
510,HOTEL OXFORD,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
511,HOTEL ATLANPA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
512,HOTEL CITY CENTRO CIUDAD DE MEXICO,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
513,NH HOTELES,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
514,RODOLFO GRANADA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
515,SERVICIOS HOTELEROS METROPOLITANOS SA DE CV,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
516,HOTEL ROSALES,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
517,HOTEL EL CID,CANACO SERVYTUR GUSTAVO A MADERO,Hoteles con otros servicios integrados,Ciudad de México
518,HOTEL SIN NOMBRE,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
519,HOTEL MARRIOT,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
520,"AUTOHOTEL LEGARIA, S.A. DE C.V.",CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
521,HOTEL DEL ÁNGEL,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
522,INMOBILIARIA PRECIADOS SA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
523,HOTEL ROSENDO CASAL,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
524,HOTEL MARBELLA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
525,VIBAÑO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
526,INMOBILIARIA TEIDE,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
527,HOTEL TRIANA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
528,CHOUSA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
529,MARRIOT,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
530,INMOBILIARIA HOTELERA ORENSE,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
531,HOTEL AJUSCO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
532,HOTEL MORELIA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
533,"LOMBA, S.A.",CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
534,HOTEL EL CHOPO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
535,ARRENDADORA DE INMUEBLES SUIZA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
536,HOTEL GILBERT SA,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
537,PROMOTORA CAMPELO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
538,HOTEL DEL PRINCIPADO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
539,HOTELES Y CENTROS ESPECIALIZADOS,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
540,HOTEL SIN NOMBRE,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
541,INMOBILIARIA PRAMAROCAS,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
542,HOTEL MARTI,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
543,HOTEL GIN,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
544,HITLON,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
545,DIRECCION CORPORATIVA POSADAS,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
546,CASA DE HUESPEDES SIN NOMBRE,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
547,OPERADORA DE HOTELES PEREIRO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
548,LAC TRAVEL,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
549,CORPORATIVO DE INCENTIVOS CONVENCIONES Y SEMINARIOS,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
550,HOTELES Y RESTAURANTES UNIDOS,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
551,HOTEL CANADA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
552,HOTELES CORAL,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
553,OPERADORA HOTELERA LA RAZA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
554,HOTEL CONGRESO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
555,HOTEL RUVAL,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
556,INMOBILIARIA MOSE SA DE CV,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
557,HOTELERA CENTRO HISTORICO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
558,HOTEL PAORAMA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
559,OPREM 390,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
560,HOSTAL CIUDAD DE MEXICO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
561,HOTEL LIRA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
562,QBIT MEXICO S DE RL DE CV,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
563,OPERADORA HOTEL HSFH,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
564,HOTEL GIN,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
565,HOTEL DEL NORTE,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
566,PEÑAMAYOR,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
567,"CONSORCIO HOTELERO GEO, S.A. DE C.V.",CANACO SERVYTUR ALVARO OBREGON,Hoteles con otros servicios integrados,Ciudad de México
568,HOTEL BEVERLY,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
569,FLORIDA 57,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
570,INMOBILIARIA HOTELERA EL TAPATIO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
571,COSTELA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
572,HOTEL JW MARRIOTT,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
573,SUMINISTRO Y EQUIPOS PARA HOTELES,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
574,SERVICIOS DE HOTELERIA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
575,ADMINISTRADORA HOTELERA DEL CENTRO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
576,"INMOBILIARIA OROSO, S.A. DE C.V.",CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
577,HOTEL DEL PRADO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
578,HOTEL HABANA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
579,HOTELES MEXICANOS,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
580,"PANA, S.A. DE C.V.",CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
581,HOTEL SIN NOMBRE,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
582,OPERADORA HOTEL CENTRO HISTORICO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
583,VIADU,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
584,OPERADORA ROOM MA TE MEXICO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
585,INMOBILIARIA OROSOSA DE CV,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
586,PROMOTORA PORTO,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
587,HOTEL LA NUEVA MARINA,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
588,WSC KRYSTAL GRAND REFORMA F/01057,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
589,PETACAS,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
590,,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
591,HOTELERA PORTALES,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
592,HOTEL VERMONT,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
593,SOLMAR,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
594,HOTELS MARRIOTT,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
595,PROMOCIONES RIO PLATA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
596,ANDURIÑA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
597,HOTELES Y RESTAURANTES UNIDOS,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
598,HOTEL SIN NOMBRE,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
599,OPERADORA HOTELERIA IAB,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
600,GRUPO MERCANTIL TE PRESTAMOS,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
601,HOSPEDAJES ROMO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
602,CITY EXPRESS PLUS,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
603,HOTEL LE MERIDIEN,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
604,MOTEL QUINTA MARGARITA SA DE CV,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
605,HOTEL Y VILLAS LAM SA DE CV,CANACO SERVYTUR GUSTAVO A MADERO,Hoteles con otros servicios integrados,Ciudad de México
606,INMOBILIARIA MARISCAL,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
607,SUITES EMBASSY,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
608,HOTEL BRASILIA Y RESTAURANTE COPACABANA,CANACO SERVYTUR GUSTAVO A MADERO,Hoteles con otros servicios integrados,Ciudad de México
609,OPERADORA VISTA ALEGRE,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
610,PEÑA MAYOR,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
611,HOTEL INN ZARAGOZA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
612,SOCIEDAD OLIMPICA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
613,HOTEL ATOYAC,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
614,PROMOTORA DE HOTELES MIXHIUCA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
615,OPERADORA AZUL COPACABANA SA DE CV,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
616,HOTEL SAN BERNABE,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
617,HOTELERA TACUBA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
618,HOTEL DE PRADO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
619,HOTELERA SAN JERONIMO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
620,INMOBILIARIA JEVI,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
621,HOSPEDAJES LA COMERCIAL,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
622,REFORMA CT,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
623,HOTEL SIN NOMBRE,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
624,"PROMOTORA MOLINA, S.A. DE C.V.",CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
625,HOTELERA CAMPO REAL,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
626,OPERADORA HARARE,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
627,COMPAÑIA DISTRIBUIDORA HOTELERA DEMHE,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
628,SERVICIOS HOTELEROS METROPOLITANOS,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
629,HOTEL FOUR POINTS,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
630,OPERADORA DE INMUEBLES STARA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
631,HOTEL JALISCO SA DE CV,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
632,HOTEL PARAISO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
633,MARALPE,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
634,HOSPEDAJE THE HOUSE,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
635,HOTELES DE TURISMO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
636,HOTEL NAYARIT,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
637,"PONTE, S.A. DE C.V.",CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
638,HOTEL PRESIDENTE,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
639,OPERADORA DE INMUEBLES STARA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
640,OPERADOR NACIONAL HISPANA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
641,EUROSUITES SA DE CV,CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
642,OPERADORA DE INMUEBLES STARA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
643,HOTEL DEL PRADO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
644,"RIO LERMA 162, S.A. DE C.V.",CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
645,"OPERADORA HOTELERA BRISAS, S.A. DE C.V.",CANACOPE SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
646,HOTEL PEGASO,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
647,HOTEL CANADA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
648,HOTEL ROJA,CANACO SERVYTUR CD DE MEXICO,Hoteles con otros servicios integrados,Ciudad de México
